Character,Acc,Ntrials,RT,SE,SD,Z(RT)
啊,1,34,583.6470588,24.50035041,142.8603646,-0.2664552
哎,1,33,568.3333333,16.51988395,94.89950825,-0.3471487
哀,1,35,578.5714286,22.4827585,133.009793,-0.2870977
唉,0.942857143,33,688.0606061,40.48397877,232.5627522,0.19413077
埃,0.857142857,30,720.1666667,31.14884855,170.6092699,0.27342404
挨,0.885714286,29,681.6206897,39.59625094,213.232337,0.12153992
癌,0.971428571,33,598.030303,16.42063586,94.32937137,-0.1770385
矮,1,35,601.1142857,22.61741619,133.8064387,-0.1983189
蔼,0.942857143,32,690.46875,23.94920635,135.4771697,0.22154876
艾,1,33,593.6969697,24.26633645,139.39949,-0.1989718
隘,1,32,723.1875,33.42168378,189.0615939,0.33242962
爱,1,34,497.0588235,20.1484217,117.4844777,-0.6742627
碍,0.8,27,675.2592593,37.70641548,195.9282821,0.11119963
安,1,35,512.1428571,22.25615363,131.6691806,-0.587495
鞍,0.914285714,32,655.9375,29.1936643,165.144304,0.04049434
谙,0.742857143,23,827.0869565,37.70878181,180.8449645,0.80909706
岸,1,35,520.2857143,15.69454069,92.85015488,-0.5550447
按,1,33,553.2727273,25.30478129,145.3649014,-0.4175432
暗,0.857142857,26,711.4230769,32.97043772,168.1169053,0.35425679
昂,0.971428571,34,575.1764706,25.92431981,151.1634617,-0.3186145
凹,0.885714286,30,761.5666667,30.49362788,167.0204785,0.58482628
遨,1,34,606.4117647,30.51936405,177.9569437,-0.2189828
奥,1,34,529.5588235,18.66116824,108.8123743,-0.516596
澳,0.885714286,27,609.5185185,33.37020911,173.3966929,-0.1859909
懊,0.857142857,29,641.3103448,18.34233195,98.77648052,0.04500694
巴,0.971428571,34,537.6764706,18.74182986,109.2827083,-0.4791915
叭,0.714285714,22,721.4090909,46.66629526,218.8843267,0.32505848
扒,1,35,609.4285714,19.1526502,113.3086066,-0.0978348
吧,0.942857143,31,611.2580645,30.71688155,171.0243584,-0.1206952
疤,1,33,633.1515152,24.85423876,142.7767316,-0.0448934
笆,0.885714286,28,630.6785714,32.15443281,170.1452655,-0.0433211
拔,1,34,616.6470588,26.29107879,153.3020157,-0.1177486
跋,0.914285714,29,752.9310345,37.43970295,201.6189707,0.46637209
爸,1,35,538.8571429,21.22742569,125.583144,-0.4550338
罢,1,34,547.2352941,19.64135016,114.5277679,-0.4472255
霸,0.971428571,31,624.7096774,33.40984317,186.0181342,-0.1160893
百,1,32,463.3125,10.67645864,60.39517044,-0.8232154
拜,1,35,517.4571429,11.42202964,67.57363864,-0.5521711
败,0.942857143,33,579,31.29300072,179.764603,-0.3290325
班,0.971428571,34,591.8823529,24.03539297,140.1492202,-0.2340354
般,0.971428571,34,471.7941176,13.95745888,81.38527132,-0.7803131
斑,0.942857143,33,617.4242424,20.50651367,117.8009524,-0.1254851
搬,1,33,632.1818182,27.96664865,160.6561652,-0.1051171
颁,0.857142857,28,707.6071429,23.32036711,123.3997837,0.3659772
阪,0.628571429,19,852.1052632,59.74868883,260.4384966,0.8119047
板,1,35,630.9142857,19.07954915,112.876135,-0.0065782
半,1,35,537.4285714,18.49207351,109.4005822,-0.4726746
伴,1,34,552.2941176,16.71596254,97.46997344,-0.4012586
扮,0.971428571,34,556.3529412,18.3508043,107.0026571,-0.3634708
办,0.971428571,34,542.4705882,32.52127331,189.6299803,-0.5024593
邦,1,35,541.0857143,15.46524276,91.49361001,-0.4632165
帮,1,35,575.7714286,25.27592556,149.5343922,-0.3015836
榜,0.942857143,31,606.5483871,19.0618032,106.1316286,-0.1555429
蚌,0.885714286,31,820.3548387,50.60761021,281.7712486,0.68157437
傍,0.942857143,32,593.03125,37.76627198,213.6382961,-0.2642932
棒,1,34,575.4705882,22.92288223,133.6622236,-0.2413657
谤,1,31,658.1935484,33.28050931,185.2980337,0.09437569
镑,0.742857143,19,625.1578947,40.08691312,174.7348032,-0.0027617
包,1,35,480.4,18.49874854,109.4400722,-0.7229413
苞,0.942857143,33,637.7878788,18.03892874,103.6257562,-0.0207067
胞,1,35,607.2857143,35.31625596,208.9337879,-0.2265945
剥,1,35,608.7428571,33.35730535,197.3444798,-0.1849498
煲,0.828571429,25,657.04,29.11325471,145.5662736,0.15574343
保,0.971428571,34,553.5294118,32.2404689,187.9926232,-0.4341665
堡,1,35,604.2285714,22.80671749,134.9263602,-0.1347931
饱,1,34,575.0294118,27.42724894,159.9269692,-0.3347437
宝,1,35,545.9428571,22.22678915,131.495458,-0.4815078
抱,0.971428571,34,555.9117647,28.24218434,164.6788183,-0.3913213
豹,0.971428571,34,635.2352941,30.48181302,177.7379854,-0.0578183
报,0.971428571,33,514.2424242,20.13994741,115.6951896,-0.5616411
暴,0.971428571,33,557.6969697,21.04848681,120.9143511,-0.3486629
爆,1,35,580.4857143,24.17622179,143.0284569,-0.2774342
卑,0.971428571,33,661.8787879,29.94267748,172.0075866,0.06862458
杯,0.914285714,32,572.5625,27.80599326,157.2944511,-0.2881752
碑,1,33,599.6060606,23.43911113,134.6474423,-0.1584506
北,1,35,521.7142857,20.73622136,122.67714,-0.5624081
背,0.942857143,33,535.6060606,16.05193627,92.21135349,-0.488455
被,1,33,586.4242424,25.53310501,146.6765213,-0.296127
备,0.971428571,34,562.5,24.1745454,140.9606113,-0.3487415
辈,1,35,518.4285714,17.77904941,105.1822748,-0.5481952
奔,1,34,523.2941176,15.88778213,92.64089332,-0.5231432
本,0.971428571,33,459.9090909,16.07294944,92.332065,-0.8245746
畚,0.114285714,4,795,158.0606424,316.1212847,0.80199319
笨,1,35,518.4857143,24.3339294,143.9614678,-0.5806318
崩,0.971428571,34,577.9705882,18.11167995,105.6083345,-0.3085894
绷,0.8,25,776.48,44.62798524,223.1399262,0.52447924
蹦,1,35,601.7714286,23.3544873,138.1670101,-0.199335
逼,1,34,594.0882353,25.7201575,149.9730011,-0.1990993
笔,1,35,524.9142857,12.88040473,76.201502,-0.5157492
必,1,34,540.0294118,16.52543469,96.3590147,-0.4355796
庇,0.914285714,32,727.28125,26.822604,151.7315614,0.42550408
毕,1,35,546.2,18.8000894,111.2228288,-0.455993
敝,0.914285714,31,589.2580645,19.67198585,109.5289818,-0.2731128
闭,1,35,490.2571429,11.36191063,67.21796979,-0.6616056
辟,0.971428571,33,562.6060606,12.51801273,71.91050836,-0.3456885
币,1,34,539.3823529,18.53613394,108.0833053,-0.4587564
碧,1,33,589.2121212,23.92241079,137.4237874,-0.2395323
蔽,0.971428571,32,686.53125,40.87813775,231.2416672,0.15872397
臂,0.942857143,33,656.2121212,28.06066742,161.1962619,0.07239606
砭,0.542857143,17,785.1176471,28.5816532,117.8451751,0.67493959
编,0.971428571,33,605.4242424,23.08831161,132.6322525,-0.1758904
边,0.942857143,33,566.4242424,22.13337799,127.1465764,-0.2830029
鞭,0.971428571,32,632.21875,26.39937279,149.3374042,-0.0585348
扁,1,35,547.8571429,26.85438927,158.8727095,-0.4369566
贬,1,35,560.8,22.26350218,131.7126552,-0.3518393
便,1,35,532.7714286,22.91709889,135.5793854,-0.5289639
遍,0.942857143,33,525.7272727,15.45296338,88.77051619,-0.4872665
辫,1,34,670.7941176,30.91128642,180.2422241,0.08745571
辩,0.971428571,34,610.2352941,25.3509435,147.8201321,-0.1573015
变,1,35,510.7714286,11.95721263,70.73982393,-0.5646573
标,1,35,547.8857143,21.85685945,129.3069243,-0.4481683
表,1,35,526.6857143,25.74522135,152.3107836,-0.5716203
别,0.971428571,34,585.8529412,36.37897505,212.1240535,-0.3005295
彬,1,34,593.4411765,16.99644459,99.10545078,-0.1932065
缤,0.971428571,31,675.4193548,38.92912706,216.7482063,0.10972235
摈,0.314285714,10,934.8,63.61600078,201.1714581,1.2090844
冰,0.971428571,34,636.7352941,34.58501909,201.6635826,-0.0313855
兵,1,35,523.9428571,19.55474723,115.6874448,-0.5370765
槟,0.942857143,32,683.78125,30.22071811,170.9541977,0.24913451
丙,1,34,613.5588235,22.88092836,133.4175926,-0.1514502
秉,0.971428571,33,633.0606061,25.26495729,145.1361299,-0.1072661
柄,0.971428571,33,640.0606061,25.17047706,144.5933823,-0.0336123
炳,0.885714286,30,635.0333333,33.80340333,185.1488652,-0.0433385
饼,1,35,554.3142857,24.12745469,142.7399469,-0.4300341
并,1,33,552.8181818,25.5698114,146.8873834,-0.3967405
病,0.971428571,34,549.0882353,21.62850201,126.1147548,-0.4285573
波,0.942857143,33,573.7575758,21.61960347,124.1951665,-0.3003481
拨,1,35,573.4571429,19.55295945,115.6768681,-0.2854352
播,1,33,604.3939394,19.47419327,111.8707232,-0.177063
伯,0.942857143,33,570.3333333,21.57692663,123.9500067,-0.3616816
帛,0.942857143,32,793.03125,36.18663774,204.7025355,0.6203071
博,0.914285714,30,653.8666667,26.97711816,147.7597615,0.01311361
搏,0.971428571,33,601.3030303,28.97453443,166.4460282,-0.1910767
驳,0.942857143,30,677.5333333,25.68897672,140.7043203,0.18222992
薄,1,35,521.6,21.03131718,124.4229504,-0.5624742
礡,0.342857143,9,793.2222222,84.14137867,252.424136,0.68170034
跛,0.971428571,28,664.1071429,34.93286605,184.8473523,0.10946961
簸,0.942857143,32,674,28.05434674,158.6993506,0.10981831
哺,0.942857143,32,662.90625,30.19758053,170.8233117,0.04806637
不,1,34,533.7352941,23.29269349,135.8185753,-0.5003364
步,1,35,491.6571429,23.91230276,141.4670909,-0.6898921
怖,0.885714286,29,687.1724138,46.97080293,252.9455149,0.12968301
部,1,33,569.9090909,36.1809521,207.8437459,-0.3636873
埠,0.714285714,24,747.0416667,26.96619456,132.106834,0.51071069
簿,1,34,608.2647059,27.10809907,158.0660217,-0.1675251
擦,1,33,586.0909091,31.26521943,179.6050117,-0.2866058
猜,1,35,542.9428571,16.54359877,97.87325022,-0.4294799
才,1,35,552.8,31.07934546,183.8678874,-0.3957388
材,1,34,501.4705882,20.14878859,117.486617,-0.6799301
裁,0.971428571,33,702.0909091,38.6290724,221.9071264,0.20022502
采,1,34,538.3235294,23.15535845,135.0177812,-0.4850856
彩,1,34,538.9117647,28.70398333,167.371546,-0.5023506
菜,1,35,527.9428571,13.74081468,81.29175592,-0.5213728
参,1,35,510.4285714,22.98275882,135.9678348,-0.6086326
餐,0.971428571,34,620.2647059,33.64609003,196.1887324,-0.0599779
残,1,35,627.5142857,26.42510811,156.3330478,-0.0940409
蚕,1,35,516.7714286,15.07444193,89.18160115,-0.5133012
惨,1,34,565.3235294,37.85069459,220.7055794,-0.4086792
灿,1,34,656.6470588,34.54950419,201.4564969,0.02970158
仓,0.971428571,34,588.9411765,17.87947075,104.2543339,-0.2083287
苍,0.971428571,34,584.1470588,26.97579731,157.2945764,-0.3024184
藏,1,33,609.1818182,26.86320053,154.3173383,-0.1044412
操,0.942857143,32,560.1875,19.98661031,113.0613415,-0.3752546
曹,0.971428571,34,554.2352941,15.27683104,89.07846688,-0.4100876
嘈,0.742857143,25,706,23.79180531,118.9590266,0.35710377
槽,0.971428571,33,760.4242424,36.3860048,209.021684,0.49883138
册,1,35,566.2285714,18.85696206,111.559292,-0.312376
厕,1,35,565.4857143,21.87813349,129.4327832,-0.33215
策,0.971428571,34,584.0294118,23.60237629,137.6243207,-0.2735583
层,0.971428571,33,518.0606061,22.19579452,127.5051321,-0.5660342
叉,0.971428571,34,600.9411765,36.22299083,211.214517,-0.2354619
插,0.942857143,32,620.125,29.48919123,166.8160567,-0.1069218
查,1,35,512.4,13.7675297,81.4498041,-0.5893854
茶,1,35,573.7714286,20.03254016,118.5141058,-0.3185564
察,1,34,546.7058824,20.26502345,118.1643769,-0.4475935
岔,0.857142857,30,672.7333333,33.85890037,185.452835,0.1092524
刹,1,33,597.030303,28.70699962,164.9091577,-0.1908986
