"","Character","CHRCount","CHR/million","logCHR","CHR-CD","CHR-CD%","logCHR-CD","CHR.million","item"
"1","我",2058980,"43956,7","6.3137",6242,"99,98","3,7953","43956.7","我"
"2","的",1762079,"37618,23","6.246",6243,"100","3,7954","37618.23","的"
"3","你",1444831,"30845,37","6.1598",6242,"99,98","3,7953","30845.37","你"
"4","是",1172098,"25022,86","6.069",6243,"100","3,7954","25022.86","是"
"5","了",993990,"21220,47","5.9974",6243,"100","3,7954","21220.47","了"
"6","不",904675,"19313,7","5.9565",6243,"100","3,7954","19313.7","不"
"7","们",701754,"14981,59","5.8462",6243,"100","3,7954","14981.59","们"
"8","这",633842,"13531,75","5.802",6243,"100","3,7954","13531.75","这"
"9","一",604056,"12895,86","5.7811",6240,"99,95","3,7952","12895.86","一"
"10","他",564477,"12050,89","5.7516",6242,"99,98","3,7953","12050.89","他"
"11","么",557804,"11908,43","5.7465",6227,"99,74","3,7943","11908.43","么"
"12","在",546367,"11664,27","5.7375",6242,"99,98","3,7953","11664.27","在"
"13","有",533631,"11392,37","5.7272",6243,"100","3,7954","11392.37","有"
"14","个",452923,"9669,35","5.656",6242,"99,98","3,7953","9669.35","个"
"15","好",412760,"8811,92","5.6157",6242,"99,98","3,7953","8811.92","好"
"16","来",377902,"8067,74","5.5774",6242,"99,98","3,7953","8067.74","来"
"17","人",373292,"7969,33","5.572",6240,"99,95","3,7952","7969.33","人"
"18","那",365024,"7792,81","5.5623",6239,"99,94","3,7951","7792.81","那"
"19","要",355730,"7594,4","5.5511",6243,"100","3,7954","7594.4","要"
"20","会",321488,"6863,37","5.5072",6242,"99,98","3,7953","6863.37","会"
"21","就",313793,"6699,1","5.4966",6243,"100","3,7954","6699.1","就"
"22","什",307184,"6558","5.4874",6239,"99,94","3,7951","6558","什"
"23","没",293874,"6273,85","5.4682",6241,"99,97","3,7953","6273.85","没"
"24","到",290231,"6196,08","5.4627",6243,"100","3,7954","6196.08","到"
"25","说",281841,"6016,96","5.45",6243,"100","3,7954","6016.96","说"
"26","吗",253338,"5408,46","5.4037",6136,"98,29","3,7879","5408.46","吗"
"27","为",249231,"5320,78","5.3966",6241,"99,97","3,7953","5320.78","为"
"28","想",247453,"5282,82","5.3935",6241,"99,97","3,7953","5282.82","想"
"29","能",241617,"5158,23","5.3831",6243,"100","3,7954","5158.23","能"
"30","上",236451,"5047,94","5.3737",6240,"99,95","3,7952","5047.94","上"
"31","去",232346,"4960,3","5.3661",6241,"99,97","3,7953","4960.3","去"
"32","道",230531,"4921,55","5.3627",6241,"99,97","3,7953","4921.55","道"
"33","她",230468,"4920,21","5.3626",6142,"98,38","3,7883","4920.21","她"
"34","很",219622,"4688,66","5.3417",6240,"99,95","3,7952","4688.66","很"
"35","看",213974,"4568,08","5.3304",6239,"99,94","3,7951","4568.08","看"
"36","可",212670,"4540,24","5.3277",6239,"99,94","3,7951","4540.24","可"
"37","知",211542,"4516,16","5.3254",6239,"99,94","3,7951","4516.16","知"
"38","得",208054,"4441,7","5.3182",6239,"99,94","3,7951","4441.7","得"
"39","过",198278,"4232,99","5.2973",6240,"99,95","3,7952","4232.99","过"
"40","吧",197159,"4209,1","5.2948",6238,"99,92","3,795","4209.1","吧"
"41","还",192389,"4107,27","5.2842",6239,"99,94","3,7951","4107.27","还"
"42","对",191793,"4094,55","5.2828",6236,"99,89","3,7949","4094.55","对"
"43","里",190694,"4071,08","5.2803",6241,"99,97","3,7953","4071.08","里"
"44","以",184508,"3939,02","5.266",6238,"99,92","3,795","3939.02","以"
"45","都",180587,"3855,31","5.2567",6237,"99,9","3,795","3855.31","都"
"46","事",179716,"3836,72","5.2546",6237,"99,9","3,795","3836.72","事"
"47","子",177693,"3793,53","5.2497",6239,"99,94","3,7951","3793.53","子"
"48","生",162725,"3473,98","5.2115",6237,"99,9","3,795","3473.98","生"
"49","时",162611,"3471,55","5.2111",6240,"99,95","3,7952","3471.55","时"
"50","样",161409,"3445,88","5.2079",6237,"99,9","3,795","3445.88","样"
"51","也",159926,"3414,22","5.2039",6238,"99,92","3,795","3414.22","也"
"52","和",155937,"3329,06","5.1929",6224,"99,7","3,7941","3329.06","和"
"53","下",153565,"3278,42","5.1863",6239,"99,94","3,7951","3278.42","下"
"54","真",140928,"3008,64","5.149",6235,"99,87","3,7948","3008.64","真"
"55","现",137777,"2941,37","5.1392",6240,"99,95","3,7952","2941.37","现"
"56","做",136328,"2910,44","5.1346",6229,"99,78","3,7944","2910.44","做"
"57","大",135159,"2885,48","5.1308",6237,"99,9","3,795","2885.48","大"
"58","啊",131345,"2804,05","5.1184",6126,"98,13","3,7872","2804.05","啊"
"59","怎",129740,"2769,79","5.1131",6236,"99,89","3,7949","2769.79","怎"
"60","出",129404,"2762,62","5.1119",6239,"99,94","3,7951","2762.62","出"
"61","点",128025,"2733,18","5.1073",6237,"99,9","3,795","2733.18","点"
"62","起",127575,"2723,57","5.1058",6238,"99,92","3,795","2723.57","起"
"63","天",127053,"2712,43","5.104",6234,"99,86","3,7948","2712.43","天"
"64","把",126881,"2708,75","5.1034",6234,"99,86","3,7948","2708.75","把"
"65","开",126802,"2707,07","5.1031",6242,"99,98","3,7953","2707.07","开"
"66","让",125114,"2671,03","5.0973",6230,"99,79","3,7945","2671.03","让"
"67","给",123887,"2644,84","5.093",6235,"99,87","3,7948","2644.84","给"
"68","但",122236,"2609,59","5.0872",6154,"98,57","3,7892","2609.59","但"
"69","谢",120668,"2576,11","5.0816",6144,"98,41","3,7885","2576.11","谢"
"70","着",117476,"2507,97","5.0699",6225,"99,71","3,7941","2507.97","着"
"71","只",117406,"2506,47","5.0697",6238,"99,92","3,795","2506.47","只"
"72","些",113122,"2415,02","5.0535",6229,"99,78","3,7944","2415.02","些"
"73","如",113103,"2414,61","5.0535",6234,"99,86","3,7948","2414.61","如"
"74","家",112387,"2399,32","5.0507",6236,"99,89","3,7949","2399.32","家"
"75","后",109915,"2346,55","5.0411",6218,"99,6","3,7937","2346.55","后"
"76","儿",105402,"2250,2","5.0228",6066,"97,16","3,7829","2250.2","儿"
"77","多",104049,"2221,32","5.0172",6236,"99,89","3,7949","2221.32","多"
"78","意",103354,"2206,48","5.0143",6238,"99,92","3,795","2206.48","意"
"79","别",102034,"2178,3","5.0087",6232,"99,82","3,7946","2178.3","别"
"80","所",100444,"2144,36","5.0019",6232,"99,82","3,7946","2144.36","所"
"81","话",99879,"2132,29","4.9995",6226,"99,73","3,7942","2132.29","话"
"82","小",99468,"2123,52","4.9977",6229,"99,78","3,7944","2123.52","小"
"83","自",98698,"2107,08","4.9943",6233,"99,84","3,7947","2107.08","自"
"84","回",92711,"1979,27","4.9671",6233,"99,84","3,7947","1979.27","回"
"85","然",91514,"1953,71","4.9615",6232,"99,82","3,7946","1953.71","然"
"86","果",91471,"1952,79","4.9613",6216,"99,57","3,7935","1952.79","果"
"87","发",87630,"1870,79","4.9427",6226,"99,73","3,7942","1870.79","发"
"88","见",85723,"1830,08","4.9331",6220,"99,63","3,7938","1830.08","见"
"89","心",83418,"1780,87","4.9213",6225,"99,71","3,7941","1780.87","心"
"90","走",82765,"1766,93","4.9178",6216,"99,57","3,7935","1766.93","走"
"91","定",81657,"1743,28","4.912",6219,"99,62","3,7937","1743.28","定"
"92","听",81570,"1741,42","4.9115",6221,"99,65","3,7939","1741.42","听"
"93","觉",81155,"1732,56","4.9093",6180,"98,99","3,791","1732.56","觉"
"94","太",80890,"1726,9","4.9079",6200,"99,31","3,7924","1726.9","太"
"95","该",80641,"1721,59","4.9066",6222,"99,66","3,7939","1721.59","该"
"96","当",80228,"1712,77","4.9043",6220,"99,63","3,7938","1712.77","当"
"97","经",80207,"1712,32","4.9042",6214,"99,54","3,7934","1712.32","经"
"98","妈",79529,"1697,85","4.9005",5318,"85,18","3,7257","1697.85","妈"
"99","用",79299,"1692,94","4.8993",6222,"99,66","3,7939","1692.94","用"
"100","打",79262,"1692,15","4.8991",6203,"99,36","3,7926","1692.15","打"
"101","地",78129,"1667,96","4.8928",6211,"99,49","3,7932","1667.96","地"
"102","再",78039,"1666,04","4.8923",6230,"99,79","3,7945","1666.04","再"
"103","因",77540,"1655,38","4.8895",6201,"99,33","3,7925","1655.38","因"
"104","呢",77341,"1651,14","4.8884",6196,"99,25","3,7921","1651.14","呢"
"105","女",76693,"1637,3","4.8848",6088,"97,52","3,7845","1637.3","女"
"106","告",76599,"1635,29","4.8842",6197,"99,26","3,7922","1635.29","告"
"107","最",75999,"1622,49","4.8808",6220,"99,63","3,7938","1622.49","最"
"108","手",75608,"1614,14","4.8786",6186,"99,09","3,7914","1614.14","手"
"109","前",75236,"1606,2","4.8764",6219,"99,62","3,7937","1606.2","前"
"110","找",73582,"1570,89","4.8668",6139,"98,33","3,7881","1570.89","找"
"111","行",73109,"1560,79","4.864",6201,"99,33","3,7925","1560.79","行"
"112","快",72900,"1556,33","4.8627",6145,"98,43","3,7885","1556.33","快"
"113","而",72462,"1546,97","4.8601",6156,"98,61","3,7893","1546.97","而"
"114","死",71256,"1521,23","4.8528",6029,"96,57","3,7802","1521.23","死"
"115","先",71253,"1521,16","4.8528",6128,"98,16","3,7873","1521.16","先"
"116","像",71186,"1519,73","4.8524",6153,"98,56","3,7891","1519.73","像"
"117","等",71184,"1519,69","4.8524",6178,"98,96","3,7908","1519.69","等"
"118","被",70119,"1496,95","4.8458",6158,"98,64","3,7894","1496.95","被"
"119","从",69789,"1489,91","4.8438",6209,"99,46","3,793","1489.91","从"
"120","明",69749,"1489,06","4.8435",6202,"99,34","3,7925","1489.06","明"
"121","中",69745,"1488,97","4.8435",6167,"98,78","3,7901","1488.97","中"
"122","哦",69380,"1481,18","4.8412",5428,"86,95","3,7346","1481.18","哦"
"123","情",69279,"1479,02","4.8406",6178,"98,96","3,7908","1479.02","情"
"124","作",68168,"1455,3","4.8336",6143,"98,4","3,7884","1455.3","作"
"125","跟",67347,"1437,78","4.8283",5897,"94,46","3,7706","1437.78","跟"
"126","面",67015,"1430,69","4.8262",6200,"99,31","3,7924","1430.69","面"
"127","诉",65753,"1403,75","4.8179",6150,"98,51","3,7889","1403.75","诉"
"128","爱",65256,"1393,14","4.8146",5978,"95,76","3,7766","1393.14","爱"
"129","已",65079,"1389,36","4.8134",6184,"99,05","3,7913","1389.36","已"
"130","之",64755,"1382,44","4.8113",6164,"98,73","3,7899","1382.44","之"
"131","问",64375,"1374,33","4.8087",6140,"98,35","3,7882","1374.33","问"
"132","错",63231,"1349,9","4.8009",6180,"98,99","3,791","1349.9","错"
"133","孩",62601,"1336,45","4.7966",5876,"94,12","3,7691","1336.45","孩"
"134","斯",61882,"1321,1","4.7916",4136,"66,25","3,6166","1321.1","斯"
"135","成",61348,"1309,7","4.7878",6175,"98,91","3,7906","1309.7","成"
"136","它",61272,"1308,08","4.7873",5950,"95,31","3,7745","1308.08","它"
"137","感",61054,"1303,43","4.7857",6131,"98,21","3,7875","1303.43","感"
"138","干",60971,"1301,66","4.7851",6156,"98,61","3,7893","1301.66","干"
"139","法",60750,"1296,94","4.7835",6091,"97,57","3,7847","1296.94","法"
"140","电",60278,"1286,86","4.7802",5807,"93,02","3,764","1286.86","电"
"141","间",60047,"1281,93","4.7785",6174,"98,89","3,7906","1281.93","间"
"142","哪",59479,"1269,8","4.7744",6176,"98,93","3,7907","1269.8","哪"
"143","西",59024,"1260,09","4.771",6124,"98,09","3,787","1260.09","西"
"144","己",58674,"1252,62","4.7684",6163,"98,72","3,7898","1252.62","己"
"145","候",58337,"1245,42","4.7659",6169,"98,81","3,7902","1245.42","候"
"146","次",58108,"1240,53","4.7642",6183,"99,04","3,7912","1240.53","次"
"147","信",57928,"1236,69","4.7629",6108,"97,84","3,7859","1236.69","信"
"148","欢",57817,"1234,32","4.7621",6024,"96,49","3,7799","1234.32","欢"
"149","正",57215,"1221,47","4.7575",6186,"99,09","3,7914","1221.47","正"
"150","实",57010,"1217,09","4.756",6151,"98,53","3,7889","1217.09","实"
"151","关",55693,"1188,98","4.7458",6152,"98,54","3,789","1188.98","关"
"152","进",55676,"1188,61","4.7457",6142,"98,38","3,7883","1188.61","进"
"153","车",55587,"1186,71","4.745",5469,"87,6","3,7379","1186.71","车"
"154","年",54824,"1170,43","4.739",6051,"96,92","3,7818","1170.43","年"
"155","喜",54432,"1162,06","4.7359",5972,"95,66","3,7761","1162.06","喜"
