"item","num_strokes","radical","strokes","r_stroke","lexicality","level","CHRCount","logCHR","v1","v1_label"
"㬎",14,"日","竖,横折,横,横,撇折,撇折,点,撇折,撇折,点,点,点,点,点","竖,横折,横,横",1,1,NA,NA,"",NA
"一",1,"一","横","横",1,1,604056,5.7811,"",NA
"丁",2,"一","横,竖钩","横",1,1,3640,3.5611,"",NA
"七",2,"一","横,竖弯钩","横",1,1,4094,3.6121,"",NA
"万",3,"一","横,横折钩,撇","横",1,1,18335,4.2633,"",NA
"丈",3,"一","横,撇,捺","横",1,1,6238,3.795,"",NA
"三",3,"一","横,横,横","横",1,1,26275,4.4195,"",NA
"上",3,"一","竖,横,横","横",1,1,236451,5.3737,"",NA
"下",3,"一","横,竖,点","横",1,1,153565,5.1863,"",NA
"不",4,"一","横,撇,竖,点","横",1,1,904675,5.9565,"",NA
"与",3,"一","横,竖折折钩,横","横",1,1,17262,4.2371,"",NA
"丏",4,"一","横,竖,竖折/竖弯,横折钩","横",1,1,NA,NA,"",NA
"丐",4,"一","横,竖,横,竖折折钩","横",1,1,133,2.1239,"",NA
"丑",4,"一","横折,竖,横,横","横",1,1,2948,3.4695,"",NA
"专",4,"一","横,横,竖折撇/竖折折,点","横",1,1,7712,3.8872,"",NA
"且",5,"一","竖,横折,横,横,横","横",1,1,24774,4.394,"",NA
"丕",5,"一","横,撇,竖,点,横","横",1,1,7,0.8451,"",NA
"世",5,"一","横,竖,竖,横,竖折/竖弯","横",1,1,21566,4.3338,"",NA
"丘",5,"丿","撇,竖,横,竖,横","撇",1,1,507,2.705,"",NA
"丙",5,"一","横,竖,横折钩,撇,点","横",1,1,197,2.2945,"",NA
"业",5,"一","竖,竖,点,撇,横","横",1,1,13928,4.1439,"",NA
"丛",5,"一","撇,点,撇,捺,横","横",1,1,744,2.8716,"",NA
"东",5,"一","横,撇折,竖钩,撇,点","横",1,1,44037,4.6438,"",NA
"丝",5,"一","撇折,撇折,撇折,撇折,横","横",1,1,6698,3.8259,"",NA
"丞",6,"一","横撇/横钩,竖钩,横撇/横钩,撇,捺,横","横",1,1,4,0.6021,"",NA
"丢",6,"丿","撇,横,竖,横,撇折,点","撇",1,1,6145,3.7885,"",NA
