,stimulusLabel,level,res_freq_wp,res_freq_np,rad_freq_wp,rad_freq_np
0,魔巡,1,1,1,11,15
1,前赝,1,1,1,2,58
2,韩鸨,1,1,1,1,7
3,豪赍,1,1,1,1,5
4,媵燮,1,1,1,4,168
5,叠菰,1,1,1,1,3
6,渠棽,1,1,1,1,470
7,死冏,1,1,1,1,21
8,鏖虺,1,1,7,1,15
9,馗彪,1,1,4,1,3
10,与焉,1,1,1,1,41
11,羞庚,1,1,1,1,10
12,逢厚,1,1,1,107,107
13,遴廛,1,1,1,107,107
14,遏癌,1,1,1,107,107
15,追阃,1,1,3,107,107
16,逼匦,1,1,1,107,107
17,遆厣,1,1,1,107,107
18,疝追,1,1,1,102,102
19,瘅遴,1,1,2,102,102
20,痂逐,1,1,1,102,102
21,痹遂,1,1,1,102,102
22,癜遽,1,1,1,102,102
23,瘭邃,1,1,1,102,102
24,遵瘛,1,1,1,107,107
25,后夥,1,1,1,32,364
26,蠢嚭,1,1,1,13,173
27,质叕,1,1,1,8,71
28,逢屐,1,1,1,107,107
29,遆履,1,1,2,107,107
30,追网,1,1,3,107,107
31,逼凼,1,1,1,107,107
32,逢厨,1,1,1,107,107
33,逸庶,1,1,1,107,107
34,逾庹,1,1,1,107,107
35,螽纛,1,1,1,13,173
36,蜀餍,1,1,1,13,173
37,魔蠢,1,1,1,11,15
38,筷茯,1,1,3,120,120
39,篡茶,1,1,1,120,120
40,籥蘩,1,1,1,120,120
41,笊茑,1,2,2,120,120
42,篙葩,1,1,1,120,120
43,篙葡,1,1,1,120,120
44,箨荷,1,1,1,120,120
45,憨堃,1,1,1,69,74
46,恐餮,1,1,1,69,74
47,懋劳,1,1,1,69,74
48,怼牵,1,1,1,69,74
49,惹璺,1,1,1,69,74
50,垄总,1,1,1,34,41
51,圣憩,1,1,1,34,41
52,沏陞,1,1,1,469,470
53,浞旒,1,1,2,469,470
54,潆鬷,1,1,1,469,470
55,浞糌,1,1,1,469,470
56,戆凿,1,1,1,69,74
57,恝妻,1,1,1,69,74
58,忌贞,1,1,2,69,74
59,寂蘖,1,1,1,60,60
60,寥蒨,1,1,1,60,60
61,寥葰,1,1,1,60,60
62,寥葎,1,1,1,60,60
63,宥菔,1,1,1,60,60
64,宠蓟,1,1,1,60,60
65,垄柒,1,1,1,34,41
66,垄禀,1,1,1,34,41
67,窬蓓,1,1,1,34,34
68,窬藤,1,1,1,34,34
69,嵛蘧,1,1,1,39,129
70,晃荮,1,1,1,36,127
71,妻碧,1,1,1,18,168
72,烈襄,1,1,1,22,23
73,亲莼,1,1,1,19,22
74,簋喾,1,1,1,22,23
75,𬸚箦,1,1,1,15,95
76,吉衰,1,1,1,21,364
77,挚蚩,1,1,1,13,15
78,眷熏,1,1,1,12,85
79,螯煦,1,1,1,17,173
80,弇督,1,1,1,8,9
81,亘萜,1,1,1,12,41
82,喘潋,1,1,1,292,364
83,喊㸆,1,1,1,292,364
84,喧撂,1,1,1,292,364
85,喘溅,1,1,1,292,364
86,哑溷,1,1,1,292,364
87,唪璱,1,1,1,292,364
88,椸㳚,1,1,1,296,306
89,椸𬭊,1,1,1,296,306
90,槚𬴃,1,1,1,296,306
91,椸墘,1,1,1,296,306
92,榑暵,1,1,1,296,306
93,掐醢,1,1,1,281,281
94,擅橞,1,1,1,281,281
95,撬漏,1,1,1,281,281
96,抡嘧,1,1,1,281,281
97,拱泻,1,1,1,281,281
98,撵滓,1,1,1,281,281
99,抒谊,1,1,1,281,281
100,抱雠,1,1,1,281,281
101,撩滧,1,1,1,281,281
102,摏𬭎,1,1,1,281,281
103,揠淄,1,5,5,281,281
104,跞孙,1,1,1,98,98
105,鄫敫,1,1,1,94,161
106,鹡敷,1,1,1,78,95
107,鹇那,1,1,1,78,95
108,鹴觑,1,1,1,78,95
109,鸽邳,1,1,1,78,95
110,𫖯酆,1,1,1,51,54
111,𫖯敩,1,1,1,51,54
112,颜鄙,1,1,1,51,54
113,雕鹡,1,1,1,10,20
114,戟邾,1,1,1,13,28
115,翃列,1,1,1,14,27
116,斜𨙸,1,2,2,5,8
117,肆以,1,1,1,2,4
118,艰肄,1,1,1,1,3
119,鹀卬,1,1,1,78,95
120,顸雌,1,1,1,51,54
121,颓鸩,1,1,1,51,54
122,政顽,1,1,1,29,30
123,敞𫑡,1,1,1,29,30
124,戳剁,1,1,1,13,28
125,䎃剩,1,1,1,14,27
126,翾彩,1,1,1,14,27
127,斜毅,1,1,1,5,8
128,殿谿,1,1,1,7,8
129,期颡,1,1,1,5,149
130,䗪些,1,1,1,13,173
131,第蕴,1,1,1,120,120
132,笄菇,1,1,1,120,120
133,筒茔,1,1,1,120,120
134,箫荒,1,1,1,120,120
135,恧奥,1,1,1,69,74
136,恶煲,1,1,1,69,74
137,恋燹,1,1,1,69,74
138,憙爇,1,1,1,69,74
139,忌雀,1,1,1,69,74
140,恧詟,1,1,1,69,74
141,宄荦,1,1,1,60,60
142,实荧,1,1,1,60,60
143,墅膏,1,1,1,34,41
144,墨幂,1,1,1,34,41
145,垫愍,1,1,1,34,41
146,墅螫,1,1,1,34,41
147,早菏,1,1,1,36,127
148,赉誉,1,1,1,29,71
149,赛𪨶,1,1,1,29,71
150,椠饕,1,1,1,32,50
151,亲菪,1,1,1,19,22
152,伞萤,1,1,1,17,20
153,宽蒎,1,1,1,60,60
154,寰蒙,1,1,1,60,60
155,宽蒲,1,1,1,60,60
156,密蓥,1,1,1,60,60
157,享蔻,1,1,1,19,22
158,鬘蕲,1,1,1,17,17
159,丙蓦,1,1,1,12,41
160,充藁,1,1,1,19,22
161,禽藩,1,1,1,17,20
162,呆薳,1,1,1,12,364
163,颙刳,1,1,1,51,54
164,曼藕,1,1,1,3,10
165,罚藦,1,1,1,18,18
166,篓蒄,1,1,1,120,120
167,簿藻,1,1,1,120,120
168,霭蔊,1,1,1,32,32
169,卖蔬,1,1,1,4,17
170,梵膺,1,2,2,9,306
171,布炭,1,1,1,3,44
172,瞿嗣,1,1,1,5,85
173,嚣冁,1,1,1,32,364
174,瞿嚚,1,1,1,5,85
175,矍嚣,1,1,1,5,85
176,俎暹,1,1,1,1,3
177,樊俎,1,1,1,9,306
178,琶前,1,1,1,3,4
179,右粼,1,1,1,32,364
180,友繇,1,1,1,4,13
181,樊蒯,1,1,1,9,306
182,眉羼,1,1,1,5,85
183,蠹燚,1,1,1,13,173
184,商举,1,1,1,32,364
185,同渠,1,1,1,32,364
186,瑟楚,1,1,1,3,4
187,暹嘉,1,1,1,6,127
