;item;strokeType;num_strokes;TypeOriginal;num_str_traditional
26;澄;1;15;1;15
10;寥;1;14;1;14
16;慷;1;14;1;14
40;魄;1;14;1;15
6;塌;1;13;1;13
15;意;1;13;1;13
20;数;1;13;1;15
33;罩;1;13;1;13
34;解;1;13;1;13
12;就;1;12;1;12
29;絮;1;12;1;12
32;缀;1;11;1;14
39;颁;1;10;1;13
19;政;0;9;0;9
27;炮;0;9;0;9
31;给;0;9;1;12
5;和;0;8;0;8
9;实;0;8;1;14
13;帖;0;8;0;8
14;弧;0;8;0;8
17;所;0;8;0;8
21;斧;0;8;0;8
28;知;0;8;0;8
30;经;0;8;1;13
35;诙;0;8;1;13
36;话;0;8;1;13
1;删;0;7;0;7
3;吠;0;7;0;7
4;呐;0;7;0;10
23;每;0;7;0;7
24;汪;0;7;0;7
25;没;0;7;0;7
37;近;0;7;0;8
7;好;0;6;0;6
8;妄;0;6;0;6
22;机;0;6;1;16
38;那;0;6;0;7
2;加;0;5;0;5
11;对;0;5;1;14
18;扒;0;5;0;5
