,item,res_freq_np,res_freq_wp,rad_freq_np,rad_freq_wp
0,㬎,1.0,1.0,127,36
1,一,,,41,1
2,丁,2.0,2.0,41,23
3,七,10.0,2.0,41,23
4,万,1.0,1.0,41,23
5,丈,5.0,3.0,41,23
6,三,3.0,2.0,41,12
7,上,2.0,1.0,41,23
8,下,10.0,1.0,41,23
9,不,1.0,1.0,41,23
10,与,1.0,1.0,41,1
11,丏,1.0,1.0,41,12
12,丐,1.0,1.0,41,23
13,丑,1.0,1.0,41,23
14,专,1.0,1.0,41,23
15,且,1.0,1.0,41,23
16,丕,1.0,1.0,41,12
17,世,1.0,1.0,41,23
18,丘,1.0,1.0,21,17
19,丙,12.0,3.0,41,12
20,业,1.0,1.0,41,23
21,丛,8.0,3.0,41,4
22,东,1.0,1.0,41,23
23,丝,1.0,1.0,41,4
24,丞,1.0,1.0,41,4
25,丢,14.0,2.0,21,3
26,两,1.0,1.0,41,23
27,严,1.0,1.0,41,23
28,丧,1.0,1.0,41,23
29,个,4.0,1.0,20,17
30,丫,3.0,2.0,6,5
31,中,2.0,2.0,6,5
32,丰,4.0,1.0,6,5
33,串,1.0,1.0,6,5
34,临,1.0,1.0,6,1
35,丸,1.0,1.0,21,17
36,丹,1.0,1.0,21,17
37,为,14.0,2.0,5,3
38,主,12.0,4.0,5,2
39,丽,1.0,1.0,41,12
40,举,1.0,1.0,5,3
41,乂,2.0,2.0,21,17
42,乃,1.0,1.0,21,17
43,久,1.0,1.0,21,17
44,么,10.0,3.0,21,1
45,义,5.0,1.0,5,3
46,之,1.0,1.0,5,2
47,乌,1.0,1.0,21,17
48,乍,1.0,1.0,21,17
49,乎,1.0,1.0,21,17
50,乏,2.0,2.0,21,3
51,乐,1.0,1.0,21,17
52,乒,1.0,1.0,21,17
53,乓,1.0,1.0,21,17
54,乔,1.0,1.0,21,3
55,乖,1.0,1.0,21,17
56,乘,1.0,1.0,21,17
57,乙,,,3,1
58,乜,10.0,2.0,4,4
59,九,5.0,1.0,21,17
60,乞,6.0,2.0,3,1
61,也,1.0,1.0,4,4
62,习,3.0,1.0,4,4
63,乡,1.0,1.0,1,1
64,书,1.0,1.0,4,4
65,乩,23.0,3.0,2,2
66,买,2.0,2.0,4,1
67,乱,15.0,6.0,2,2
68,乳,2.0,2.0,1,1
69,乾,1.0,1.0,3,1
70,了,2.0,2.0,4,3
71,予,1.0,1.0,4,3
72,争,1.0,1.0,5,5
73,事,1.0,1.0,1,1
74,二,18.0,2.0,41,12
75,亍,19.0,2.0,41,12
76,于,1.0,1.0,41,23
77,亏,6.0,3.0,41,12
78,云,1.0,1.0,41,12
79,互,1.0,1.0,41,23
80,亓,2.0,2.0,41,12
81,五,2.0,2.0,41,23
82,井,5.0,1.0,41,23
83,亘,16.0,4.0,41,12
84,亚,3.0,1.0,41,23
85,些,1.0,1.0,4,2
86,亟,1.0,1.0,41,4
87,亡,1.0,1.0,22,2
88,亢,14.0,3.0,22,19
89,交,4.0,1.0,22,19
90,亥,1.0,1.0,22,2
91,亦,1.0,1.0,22,19
92,产,1.0,1.0,22,19
93,亨,1.0,1.0,22,19
94,亩,13.0,5.0,22,19
95,享,1.0,1.0,22,19
96,京,1.0,1.0,22,19
97,亭,1.0,1.0,22,19
98,亮,1.0,1.0,22,19
99,亲,1.0,1.0,22,19
100,亳,1.0,1.0,22,19
101,亵,1.0,1.0,22,19
102,亶,1.0,1.0,22,19
103,人,,,20,1
104,亿,5.0,3.0,255,255
105,什,9.0,5.0,255,255
106,仁,3.0,1.0,255,255
107,仂,12.0,5.0,255,255
108,仃,19.0,13.0,255,255
109,仄,1.0,1.0,20,1
110,仅,8.0,7.0,255,255
111,仆,10.0,7.0,255,255
112,仇,15.0,5.0,255,255
113,仉,14.0,9.0,255,255
114,今,2.0,1.0,20,17
115,介,4.0,1.0,20,17
116,仍,10.0,3.0,255,255
117,从,3.0,3.0,3,1
118,仑,9.0,2.0,20,17
119,仓,4.0,1.0,20,17
120,仔,7.0,5.0,255,255
121,仕,4.0,1.0,255,255
122,他,9.0,7.0,255,255
123,仗,4.0,2.0,255,255
124,付,14.0,10.0,255,255
125,仙,13.0,7.0,255,255
126,仝,16.0,2.0,20,17
127,仞,6.0,5.0,255,255
128,仟,12.0,9.0,255,255
129,仡,12.0,10.0,255,255
130,代,5.0,3.0,255,255
131,令,1.0,1.0,20,17
132,以,1.0,1.0,3,1
133,仨,4.0,1.0,255,255
134,仪,4.0,4.0,255,255
135,仫,2.0,1.0,255,255
136,们,4.0,3.0,255,255
137,仰,4.0,2.0,255,255
138,仲,10.0,8.0,255,255
139,仳,18.0,12.0,255,255
140,仵,6.0,5.0,255,255
141,件,2.0,2.0,255,255
142,价,11.0,7.0,255,255
143,任,8.0,5.0,255,255
144,份,19.0,12.0,255,255
145,仿,21.0,16.0,255,255
146,企,9.0,2.0,20,17
147,伉,11.0,10.0,255,255
148,伊,3.0,1.0,255,255
149,伍,2.0,1.0,255,255
150,伎,14.0,11.0,255,255
151,伏,8.0,4.0,255,255
152,伐,3.0,2.0,255,255
153,休,8.0,3.0,255,255
154,众,8.0,2.0,20,17
155,优,6.0,5.0,255,255
156,伙,7.0,5.0,255,255
157,会,13.0,3.0,20,17
158,伛,22.0,16.0,255,255
159,伞,1.0,1.0,20,17
160,伟,14.0,10.0,255,255
161,传,5.0,5.0,255,255
162,伢,13.0,7.0,255,255
163,伤,2.0,2.0,255,255
164,伥,9.0,8.0,255,255
165,伦,9.0,8.0,255,255
166,伧,12.0,10.0,255,255
167,伪,5.0,4.0,255,255
168,伫,5.0,4.0,255,255
169,伯,15.0,11.0,255,255
170,估,24.0,16.0,255,255
171,伲,8.0,8.0,255,255
